Category: All categories

Week,wizard: (Worldwide)
2020-04-12,69
2020-04-19,63
2020-04-26,71
2020-05-03,67
2020-05-10,87
2020-05-17,100
2020-05-24,66
2020-05-31,59
2020-06-07,59
2020-06-14,55
2020-06-21,62
2020-06-28,53
2020-07-05,48
2020-07-12,47
2020-07-19,51
2020-07-26,55
2020-08-02,48
2020-08-09,56
2020-08-16,61
2020-08-23,53
2020-08-30,54
2020-09-06,50
2020-09-13,49
2020-09-20,49
2020-09-27,47
2020-10-04,49
2020-10-11,60
2020-10-18,72
2020-10-25,64
2020-11-01,48
2020-11-08,50
2020-11-15,54
2020-11-22,64
2020-11-29,48
2020-12-06,49
2020-12-13,46
2020-12-20,53
2020-12-27,53
2021-01-03,49
2021-01-10,43
2021-01-17,42
2021-01-24,42
2021-01-31,39
2021-02-07,41
2021-02-14,41
2021-02-21,40
2021-02-28,41
2021-03-07,38
2021-03-14,37
2021-03-21,39
2021-03-28,39
