Category: All categories

Week,witch: (Worldwide)
2020-04-12,59
2020-04-19,54
2020-04-26,57
2020-05-03,61
2020-05-10,57
2020-05-17,54
2020-05-24,53
2020-05-31,50
2020-06-07,51
2020-06-14,52
2020-06-21,51
2020-06-28,53
2020-07-05,51
2020-07-12,50
2020-07-19,52
2020-07-26,49
2020-08-02,49
2020-08-09,49
2020-08-16,48
2020-08-23,50
2020-08-30,55
2020-09-06,54
2020-09-13,57
2020-09-20,58
2020-09-27,68
2020-10-04,74
2020-10-11,72
2020-10-18,79
2020-10-25,100
2020-11-01,59
2020-11-08,48
2020-11-15,51
2020-11-22,48
2020-11-29,45
2020-12-06,46
2020-12-13,43
2020-12-20,46
2020-12-27,54
2021-01-03,53
2021-01-10,56
2021-01-17,54
2021-01-24,54
2021-01-31,54
2021-02-07,58
2021-02-14,56
2021-02-21,64
2021-02-28,68
2021-03-07,57
2021-03-14,47
2021-03-21,47
2021-03-28,47
